,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,prices_fixed
id,1.0,,0.22474266522735312,0.02519983495336064,0.02519983495336064,,-0.013186496818871329,-0.003545024164389464,0.017305979414989882,,0.03486009677403048,-0.0016760064381268936,0.03131591470819353,-0.06198267117440906,0.03258123424933791,0.02525162083843593,-0.04520137637771977,-0.05653365347216546,0.028156713266900755,-0.051379907459522284,,0.11223051791795595,0.12040068416484549,0.12978856625564897,0.15833901621089144,-0.14379583549041902,-0.15233588476949725,-0.040833815994724174,-0.3036933095922484,-0.30192475135121327,-0.30191744183545094,-0.3036606692038993,-0.30386479406017214,-0.30578999636232373,-0.3019124695610506,0.16195691973600476,0.17179833647932066,-0.03491036284181257,-0.012638999331842232,-0.09247322429790061,-0.03677544714307092
scrape_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_id,0.22474266522735312,,1.0,-0.040488651753260836,-0.040488651753260836,,0.07624746552528638,-0.0025469984673801593,0.010840989315937102,,-0.012928100775296145,0.000586933372540459,0.00801509828558056,-0.07854328375811376,0.012646191896055654,-0.00533618904173386,-0.05804786403895202,-0.08175568465494445,0.00018796702655823398,-0.0822262107876635,,0.16285967198119156,0.1569667945347442,0.15255872946976312,0.1555133925311333,-0.21811277665431425,-0.06589418407052285,0.016632406598203347,-0.2268296795446292,-0.22373283425249577,-0.22341305150026186,-0.22525191239039838,-0.2260537514835103,-0.2253783569551101,-0.22535665591614684,0.2094302089832683,0.23021319241809424,-0.08193153779718451,-0.01194452924942238,-0.023922920300853467,-0.01743086840421603
host_listings_count,0.02519983495336064,,-0.040488651753260836,1.0,1.0,,-0.026333749331465563,-0.010530481627299373,0.07665933860895777,,0.021108252551943447,0.06080266352915459,-0.0002213461488295133,0.018861417072112967,0.0005184121709219501,-0.0020522004760118225,0.04317872238406184,0.046843854834504386,-0.001447673210078564,0.04546715949534419,,0.08628739556286347,0.0991158331988364,0.10383809581173274,0.13334651219850072,-0.06519183449392207,-0.06504274912863375,-0.04843319053959876,-0.1476606729116698,-0.14735273761803117,-0.14545487188799622,-0.14444543630863393,-0.14554170648686934,-0.1454474056933192,-0.1480089040749129,0.14455383344413625,0.1064446028177475,0.17422679557016038,-0.006898308131146509,-0.07645575046253929,0.004903448852022736
host_total_listings_count,0.02519983495336064,,-0.040488651753260836,1.0,1.0,,-0.026333749331465563,-0.010530481627299373,0.07665933860895777,,0.021108252551943447,0.06080266352915459,-0.0002213461488295133,0.018861417072112967,0.0005184121709219501,-0.0020522004760118225,0.04317872238406184,0.046843854834504386,-0.001447673210078564,0.04546715949534419,,0.08628739556286347,0.0991158331988364,0.10383809581173274,0.13334651219850072,-0.06519183449392207,-0.06504274912863375,-0.04843319053959876,-0.1476606729116698,-0.14735273761803117,-0.14545487188799622,-0.14444543630863393,-0.14554170648686934,-0.1454474056933192,-0.1480089040749129,0.14455383344413625,0.1064446028177475,0.17422679557016038,-0.006898308131146509,-0.07645575046253929,0.004903448852022736
neighbourhood_group_cleansed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,-0.013186496818871329,,0.07624746552528638,-0.026333749331465563,-0.026333749331465563,,1.0,-0.20876328902514438,0.12793610145572967,,0.08337989995387636,0.15601420552340722,-0.050143147485984606,-0.0025147371553984614,-0.049529204955279287,-0.05159711816025291,0.058477461030739086,0.05801232888049787,-0.05293551703287662,0.05881882326923187,,0.0707021688942212,0.0829332442357903,0.06645968216006186,0.059579395387609826,-0.05430943318732521,-0.025276327132106455,-0.04329720653854062,0.044663431499908514,0.04046024094651075,0.043525886251130005,0.04767939154597075,0.045183533758524096,0.045648604921216446,0.04147638213107686,-0.06788783579613747,-0.06839179918109815,-8.629234188653391e-05,-0.01735449223343459,-0.027618738273017765,-0.006320540247717818
longitude,-0.003545024164389464,,-0.0025469984673801593,-0.010530481627299373,-0.010530481627299373,,-0.20876328902514438,1.0,-0.05196317594451762,,-0.05226206318806422,-0.07120869724325694,-0.027259988795185194,0.01463379792286508,-0.026926815150826632,-0.026750702221001153,0.048705715622064834,0.030795386647805584,-0.026889174876455833,0.039089489887300204,,0.03633081309991581,0.02543766833385152,0.02654451486603718,0.0335991125500145,0.05948998762120373,0.05637987099021727,0.05157860018033,0.054060967888453014,0.056080383650783425,0.05321143646994512,0.054782160318811564,0.05583137418042167,0.053301058761332454,0.05248658939385476,-0.01931842310559508,-0.03055246360089438,0.04646487491563995,-0.0021894360482154307,0.06454890406159956,-0.025465291523366955
accommodates,0.017305979414989882,,0.010840989315937102,0.07665933860895777,0.07665933860895777,,0.12793610145572967,-0.05196317594451762,1.0,,0.8356213495639568,0.8447197976131579,-0.08997786526352186,0.005402964968045241,-0.08931160477338047,-0.08049490613180504,0.01497325770502862,0.03210417621097108,-0.08553565370163944,0.03311536286003977,,0.026182849709456238,0.003824170319332889,-0.021374846354405733,0.017493306321475752,-0.08283413857808387,-0.026879038940797795,-0.0008987407507745621,-0.011306162468811984,-0.01663288518933011,-0.013759622772986715,-0.009318207063254796,-0.011793948922764818,-0.013052771329267835,-0.021236438808403056,-0.06951876269681159,-0.026301710094030758,-0.19088659433439448,-0.02152045702683071,-0.015020947110601089,0.3364802651954575
bathrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
